,zip,year,half_year,violence_type,0
2190,77051,2017,first,non-violent,378.3333333333333
2191,77051,2017,first,violent,184.0
2220,77053,2017,first,non-violent,146.5
2221,77053,2017,first,violent,40.0
2250,77054,2017,first,non-violent,606.8333333333334
2251,77054,2017,first,violent,87.66666666666667
2280,77055,2017,first,non-violent,527.1666666666666
2281,77055,2017,first,violent,133.33333333333334
2310,77056,2017,first,non-violent,838.0
2311,77056,2017,first,violent,49.333333333333336
2340,77057,2017,first,non-violent,818.8333333333334
2341,77057,2017,first,violent,188.0
2370,77058,2017,first,non-violent,61.0
2371,77058,2017,first,violent,8.666666666666666
2400,77059,2017,first,non-violent,33.0
2401,77059,2017,first,violent,5.333333333333333
2430,77060,2017,first,non-violent,559.6666666666666
2431,77060,2017,first,violent,208.0
2460,77061,2017,first,non-violent,521.6666666666666
2461,77061,2017,first,violent,160.66666666666666
2490,77062,2017,first,non-violent,150.33333333333334
2491,77062,2017,first,violent,26.666666666666668
2520,77063,2017,first,non-violent,857.6666666666666
2521,77063,2017,first,violent,154.33333333333334
2550,77064,2017,first,non-violent,366.8333333333333
2551,77064,2017,first,violent,53.833333333333336
2580,77066,2017,first,non-violent,3.1666666666666665
2605,77067,2017,first,non-violent,360.3333333333333
2606,77067,2017,first,violent,148.16666666666666
2630,77069,2017,first,non-violent,48.5
2631,77069,2017,first,violent,4.666666666666667
2660,77070,2017,first,non-violent,295.1666666666667
2661,77070,2017,first,violent,27.166666666666668
2690,77071,2017,first,non-violent,474.3333333333333
2691,77071,2017,first,violent,123.33333333333333
2720,77072,2017,first,non-violent,841.8333333333334
2721,77072,2017,first,violent,243.0
2747,77073,2017,first,non-violent,11.666666666666666
2774,77074,2017,first,non-violent,598.0
2775,77074,2017,first,violent,198.66666666666666
2804,77075,2017,first,non-violent,682.0
2805,77075,2017,first,violent,121.5
2834,77076,2017,first,non-violent,562.6666666666666
2835,77076,2017,first,violent,179.0
2864,77077,2017,first,non-violent,840.5
2865,77077,2017,first,violent,128.16666666666666
2894,77078,2017,first,non-violent,237.33333333333334
2895,77078,2017,first,violent,100.16666666666667
2924,77079,2017,first,non-violent,536.0
2925,77079,2017,first,violent,40.5
2954,77080,2017,first,non-violent,472.8333333333333
2955,77080,2017,first,violent,132.33333333333334
2984,77081,2017,first,non-violent,602.8333333333334
2985,77081,2017,first,violent,230.66666666666666
3014,77082,2017,first,non-violent,481.1666666666667
3015,77082,2017,first,violent,108.5
3044,77083,2017,first,non-violent,26.333333333333332
3045,77083,2017,first,violent,7.666666666666667
3074,77084,2017,first,non-violent,90.33333333333333
3075,77084,2017,first,violent,12.666666666666666
3104,77085,2017,first,non-violent,249.66666666666666
3105,77085,2017,first,violent,61.333333333333336
3119,77086,2017,first,non-violent,14.333333333333334
3145,77087,2017,first,non-violent,648.3333333333334
3146,77087,2017,first,violent,155.5
3175,77088,2017,first,non-violent,486.1666666666667
3176,77088,2017,first,violent,202.0
3205,77089,2017,first,non-violent,309.6666666666667
3206,77089,2017,first,violent,59.666666666666664
3235,77090,2017,first,non-violent,34.0
3236,77090,2017,first,violent,9.833333333333334
3265,77091,2017,first,non-violent,437.3333333333333
3266,77091,2017,first,violent,187.33333333333334
3295,77092,2017,first,non-violent,796.8333333333334
3296,77092,2017,first,violent,187.5
3325,77093,2017,first,non-violent,527.0
3326,77093,2017,first,violent,180.16666666666666
3355,77094,2017,first,non-violent,73.33333333333333
3356,77094,2017,first,violent,4.333333333333333
3364,77095,2017,first,non-violent,1.6666666666666667
3389,77096,2017,first,non-violent,593.1666666666666
3390,77096,2017,first,violent,102.66666666666667
3419,77098,2017,first,non-violent,665.5
3420,77098,2017,first,violent,46.166666666666664
3449,77099,2017,first,non-violent,598.1666666666666
3450,77099,2017,first,violent,214.5
3479,77336,2017,first,non-violent,45.166666666666664
3480,77336,2017,first,violent,6.833333333333333
3509,77338,2017,first,non-violent,84.66666666666667
3510,77338,2017,first,violent,12.166666666666666
3539,77339,2017,first,non-violent,251.33333333333334
3540,77339,2017,first,violent,27.5
3569,77345,2017,first,non-violent,94.16666666666667
3570,77345,2017,first,violent,8.333333333333334
3599,77346,2017,first,non-violent,145.66666666666666
3600,77346,2017,first,violent,8.5
3601,77347,2017,first,non-violent,113.33333333333333
3624,77365,2017,first,non-violent,8.5
3625,77365,2017,first,violent,2.8333333333333335
3638,77373,2017,first,non-violent,4.0
3663,77375,2017,first,non-violent,21.5
3664,77375,2017,first,violent,8.0
3665,77377,2017,first,non-violent,17.833333333333332
3666,77379,2017,first,non-violent,14.166666666666666
3671,77388,2017,first,non-violent,2.1666666666666665
3696,77389,2017,first,non-violent,13.0
3697,77389,2017,first,violent,6.666666666666667
3726,77396,2017,first,non-violent,172.33333333333334
3727,77396,2017,first,violent,37.333333333333336
3743,77401,2017,first,non-violent,37.0
3759,77433,2017,first,non-violent,5.333333333333333
3760,77433,2017,first,violent,2.5
3776,77449,2017,first,non-violent,11.333333333333334
3790,77450,2017,first,non-violent,5.333333333333333
3816,77477,2017,first,non-violent,32.333333333333336
3817,77477,2017,first,violent,8.0
3843,77489,2017,first,non-violent,19.833333333333332
3844,77489,2017,first,violent,3.0
3864,77493,2017,first,non-violent,8.0
3865,77493,2017,first,violent,1.5
3867,77494,2017,first,non-violent,5.666666666666667
3891,77502,2017,first,non-violent,55.166666666666664
3892,77502,2017,first,violent,13.166666666666666
3915,77503,2017,first,non-violent,62.333333333333336
3916,77503,2017,first,violent,6.666666666666667
3945,77504,2017,first,non-violent,20.166666666666668
3946,77504,2017,first,violent,8.833333333333334
3964,77505,2017,first,non-violent,10.833333333333334
3987,77506,2017,first,non-violent,47.666666666666664
4012,77520,2017,first,non-violent,137.83333333333334
4013,77520,2017,first,violent,24.333333333333332
4042,77521,2017,first,non-violent,110.66666666666667
4043,77521,2017,first,violent,28.5
4059,77530,2017,first,non-violent,10.666666666666666
4078,77532,2017,first,non-violent,16.166666666666668
4102,77536,2017,first,non-violent,59.0
4103,77536,2017,first,violent,11.166666666666666
4132,77546,2017,first,non-violent,98.16666666666667
4133,77546,2017,first,violent,10.0
4156,77547,2017,first,non-violent,14.5
4183,77562,2017,first,non-violent,76.0
4184,77562,2017,first,violent,6.333333333333333
4213,77571,2017,first,non-violent,77.83333333333333
4214,77571,2017,first,violent,38.5
4224,77581,2017,first,non-violent,1.8333333333333333
4239,77586,2017,first,non-violent,8.833333333333334
4260,77587,2017,first,non-violent,34.0
4261,77587,2017,first,violent,8.333333333333334
4290,77598,2017,first,non-violent,246.0
4291,77598,2017,first,violent,21.833333333333332
